,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
105,Pat Connaughton,SG,28,MIL,33,0,21.1,2.4,5.3,.443,1.4,3.5,.393,1.0,1.8,.542,.574,0.4,0.5,.824,0.9,3.3,4.3,1.4,0.7,0.5,0.4,1.6,6.5
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Quinn Cook,PG,27,LAL,16,0,3.9,0.8,1.6,.462,0.3,0.8,.385,0.4,0.8,.538,.558,0.3,0.3,.800,0.0,0.3,0.3,0.3,0.1,0.1,0.2,0.1,2.1
108,Tyler Cook,PF,23,BRK,4,0,4.3,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,.333,0.0,0.0,,0.3,0.3,0.5,0.5,0.0,0.0,0.3,0.5,0.5
109,DeMarcus Cousins,C,30,HOU,25,11,20.2,3.2,8.4,.376,1.6,4.6,.336,1.6,3.8,.426,.469,1.8,2.4,.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3.0,9.6
110,Robert Covington,PF,30,POR,33,33,31.9,2.8,7.4,.374,1.7,5.2,.333,1.0,2.2,.472,.492,0.7,0.8,.821,0.8,5.8,6.6,1.7,1.6,1.2,1.2,2.6,7.9
111,Torrey Craig,SF,30,MIL,17,0,11.4,1.0,2.5,.395,0.5,1.2,.381,0.5,1.3,.409,.488,0.1,0.1,.500,0.8,1.7,2.5,0.8,0.5,0.4,0.3,1.4,2.5
112,Jae Crowder,PF,30,PHO,32,19,27.6,3.4,8.5,.402,2.4,6.4,.376,1.0,2.1,.485,.544,0.9,1.1,.829,0.4,4.6,5.0,2.1,0.8,0.3,0.9,1.8,10.1
113,Jarrett Culver,SG,21,MIN,19,7,19.8,2.8,6.7,.422,0.4,1.8,.229,2.4,4.9,.495,.453,1.1,1.8,.600,1.6,3.2,4.7,0.8,0.6,0.4,1.2,2.1,7.2
114,Seth Curry,SG,30,PHI,28,28,29.9,4.4,9.4,.469,2.0,4.5,.448,2.4,4.9,.489,.576,1.7,1.9,.923,0.2,1.8,2.0,2.8,0.9,0.3,1.5,1.7,12.5
115,Stephen Curry,PG,32,GSW,35,35,34.1,9.8,20.5,.478,4.8,11.7,.411,5.0,8.8,.567,.595,5.3,5.6,.934,0.5,5.0,5.5,6.3,1.3,0.1,3.2,1.8,29.7
116,Anthony Davis,PF,27,LAL,23,23,32.8,8.9,16.7,.533,0.7,2.5,.293,8.1,14.1,.575,.555,4.0,5.7,.715,2.0,6.3,8.4,3.0,1.3,1.8,2.0,1.8,22.5
117,Ed Davis,C,31,MIN,19,7,13.9,0.9,2.3,.419,0.0,0.0,,0.9,2.3,.419,.419,0.4,0.4,.875,2.0,3.1,5.1,1.0,0.5,0.5,0.3,2.6,2.3
118,Terence Davis,SG,23,TOR,30,3,14.7,2.6,6.2,.422,1.3,3.7,.364,1.3,2.6,.506,.529,0.5,0.6,.889,0.3,1.6,1.9,1.1,0.5,0.2,0.8,1.5,7.1
119,DeMar DeRozan,PF,31,SAS,29,29,33.8,6.7,13.8,.484,0.6,1.8,.308,6.1,12.0,.510,.504,6.0,6.8,.893,0.8,4.1,4.9,7.2,0.9,0.3,1.7,1.9,20.0
120,Hamidou Diallo,SG,22,OKC,32,5,23.8,4.5,9.3,.481,0.4,1.3,.293,4.1,8.0,.512,.502,2.6,4.1,.629,1.2,4.0,5.2,2.4,1.0,0.4,1.5,2.6,11.9
121,Gorgui Dieng,C,31,MEM,22,1,16.9,2.5,4.9,.519,1.0,2.2,.479,1.5,2.7,.550,.625,1.7,2.0,.884,1.3,3.2,4.5,1.3,0.8,0.6,1.0,1.7,7.9
122,Spencer Dinwiddie,SG,27,BRK,3,3,21.3,2.0,5.3,.375,0.7,2.3,.286,1.3,3.0,.444,.438,2.0,2.0,1.000,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7
